Area,Pop. Est
"Autauga, Alabama",55533
"Baldwin, Alabama",217855
"Barbour, Alabama",24872
"Bibb, Alabama",22367
"Blount, Alabama",57771
"Bullock, Alabama",10174
"Butler, Alabama",19631
"Calhoun, Alabama",114331
"Chambers, Alabama",33600
"Cherokee, Alabama",26014
"Chilton, Alabama",44163
"Choctaw, Alabama",12833
"Clarke, Alabama",23918
"Clay, Alabama",13294
"Cleburne, Alabama",15010
"Coffee, Alabama",51950
"Colbert, Alabama",55004
"Conecuh, Alabama",12292
"Coosa, Alabama",10643
"Covington, Alabama",36953
"Crenshaw, Alabama",13825
"Cullman, Alabama",83418
"Dale, Alabama",49143
"Dallas, Alabama",38294
"DeKalb, Alabama",71407
"Elmore, Alabama",81011
"Escambia, Alabama",36524
"Etowah, Alabama",102611
"Fayette, Alabama",16445
"Franklin, Alabama",31298
"Geneva, Alabama",26306
"Greene, Alabama",8209
"Hale, Alabama",14749
"Henry, Alabama",17173
"Houston, Alabama",104770
"Jackson, Alabama",51621
"Jefferson, Alabama",659429
"Lamar, Alabama",13882
"Lauderdale, Alabama",92604
"Lawrence, Alabama",32941
"Lee, Alabama",163656
"Limestone, Alabama",96177
"Lowndes, Alabama",9974
"Macon, Alabama",18321
"Madison, Alabama",367004
"Marengo, Alabama",19056
"Marion, Alabama",29750
"Marshall, Alabama",96170
"Mobile, Alabama",413908
"Monroe, Alabama",21062
"Montgomery, Alabama",226504
"Morgan, Alabama",119203
"Perry, Alabama",9070
"Pickens, Alabama",19980
"Pike, Alabama",33242
"Randolph, Alabama",22727
"Russell, Alabama",57784
"St Clair, Alabama",88654
"Shelby, Alabama",215583
"Sumter, Alabama",12634
"Talladega, Alabama",80137
"Tallapoosa, Alabama",40535
"Tuscaloosa, Alabama",208319
"Walker, Alabama",63669
"Washington, Alabama",16402
"Wilcox, Alabama",10599
"Winston, Alabama",23693
"Aleutians East Borough, Alaska",3395
"Aleutians West Census Area, Alaska",5640
"Anchorage Municipality, Alaska",290521
"Bethel Census Area, Alaska",18219
"Bristol Bay Borough, Alaska",880
"Denali Borough, Alaska",2032
"Dillingham Census Area, Alaska",4991
"Fairbanks North Star Borough, Alaska",98565
"Haines Borough, Alaska",2488
"Hoonah-Angoon Census Area, Alaska",2155
"Juneau City and Borough, Alaska",32037
"Kenai Peninsula Borough, Alaska",58561
"Ketchikan Gateway Borough, Alaska",13856
"Kodiak Island Borough, Alaska",13250
"Kusilvak Census Area, Alaska",8323
"Lake and Peninsula Borough, Alaska",1596
"Matanuska-Susitna Borough, Alaska",107115
"Nome Census Area, Alaska",10053
"North Slope Borough, Alaska",9850
"Northwest Arctic Borough, Alaska",7694
"Petersburg Borough, Alaska",3244
"Prince of Wales-Hyder Census Area, Alaska",6360
"Sitka City and Borough, Alaska",8554
"Skagway Municipality, Alaska",1169
"Southeast Fairbanks Census Area, Alaska",6937
"Valdez-Cordova Census Area, Alaska",9161
"Wrangell City and Borough, Alaska",2538
"Yakutat City and Borough, Alaska",596
"Yukon-Koyukuk Census Area, Alaska",5359
"Apache, Arizona",71731
"Cochise, Arizona",126411
"Coconino, Arizona",142523
"Gila, Arizona",53801
"Graham, Arizona",37995
"Greenlee, Arizona",9448
"La Paz, Arizona",21039
"Maricopa, Arizona",4402403
"Mohave, Arizona",209292
"Navajo, Arizona",110242
"Pima, Arizona",1036554
"Pinal, Arizona",446806
"Santa Cruz, Arizona",46395
"Yavapai, Arizona",231772
"Yuma, Arizona",211612
"Arkansas, Arkansas",17726
"Ashley, Arkansas",20012
"Baxter, Arkansas",41624
"Benton, Arkansas",272266
"Boone, Arkansas",37385
"Bradley, Arkansas",10838
"Calhoun, Arkansas",5227
"Carroll, Arkansas",28097
"Chicot, Arkansas",10442
"Clark, Arkansas",22313
"Clay, Arkansas",14763
"Cleburne, Arkansas",24994
"Cleveland, Arkansas",7995
"Columbia, Arkansas",23586
"Conway, Arkansas",20825
"Craighead, Arkansas",108816
"Crawford, Arkansas",63379
"Crittenden, Arkansas",48363
"Cross, Arkansas",16630
"Dallas, Arkansas",7152
"Desha, Arkansas",11507
"Drew, Arkansas",18328
"Faulkner, Arkansas",125138
"Franklin, Arkansas",17764
"Fulton, Arkansas",12308
"Garland, Arkansas",98966
"Grant, Arkansas",18180
"Greene, Arkansas",45339
"Hempstead, Arkansas",21685
"Hot Spring, Arkansas",33672
"Howard, Arkansas",13302
"Independence, Arkansas",37768
"Izard, Arkansas",13582
"Jackson, Arkansas",16753
"Jefferson, Arkansas",68067
"Johnson, Arkansas",26659
"Lafayette, Arkansas",6679
"Lawrence, Arkansas",16432
"Lee, Arkansas",8976
